"X","SPECIMEN","lat","long","year","ShortMonth","date","res","nmonth","nm","year_nm","long.aea","lat.aea","dem"
88,"JEPS95930",39.59,-121.957,1999,"aug","13-Aug","nr",8,8,"1999_08",-167965.1402383,176640.385954296,32
89,"jgr1767",38.6558,-121.215,1998,"aug","2-Aug","nr",8,8,"1998_08",-105615.931559351,71758.0109278397,85
90,"jgr18850",38.0766,-122.754,2003,"sep","6-Sep","r",9,9,"2003_09",-241238.997700852,10200.0614575162,89
91,"jgr20089",38.764257,-121.328201,2001,"may","20-May","nr",5,5,"2001_05",-115286.619933169,83944.3260554476,43
92,"jgr2124",37.055725,-121.062469,2000,"jun","7-Jun","r",6,6,"2000_06",-94350.7594127755,-106259.636154287,89
93,"jgr8009",37.963268,-122.611639,1994,"sep","10-Sep","r",9,9,"1994_09",-229119.010262557,-2746.76242268179,198
94,"jgr9863",38.218536,-120.928322,2002,"jul","28-Jul","r",7,7,"2002_07",-81172.8085163642,22871.8688101666,77
95,"NY526502",38.66,-119.539,1986,"sep","4-Sep","r",9,9,"1986_09",40071.874249169,71645.5316853095,1548
96,"POM12442",33.592,-117.759,1922,"sep","2-Sep","nr",9,9,"1922_09",208084.407154031,-488953.368841458,100
97,"POM280208",35.373,-119.017,1935,"sep","19-Sep","nr",9,9,"1935_09",89232.5271893925,-293304.848356893,123
98,"POM280210",38.833,-122.7247,1930,"sep","22-Sep","nr",9,9,"1930_09",-236257.061792924,94172.8269217191,789
99,"POM280211",35.364,-119.01,1934,"may","20-May","nr",5,5,"1934_05",89878.3715369976,-294297.746571718,122
100,"POM312383",39.0853,-122.9168,1946,"jul","27-Jul","r",7,7,"1946_07",-252046.264484179,122697.36033697,482
101,"POM48427",33.568,-117.763,1924,"jul","10-Jul","nr",7,7,"1924_07",207775.839046255,-491622.235326472,46
102,"POM50530",33.7402,-118.094859,1901,"jun","15-Jun","nr",6,6,"1901_06",176573.154252491,-473206.229531681,2
103,"POM6615",33.934,-116.97,1919,"mar","25-Mar","nr",3,3,"1919_03",280112.172799278,-449011.127923584,799
